comment_text,target
"Problem Salam, mən biləcəri dairəsi adlanan ərazidə yaşayıram. Səhər xəritədə baxıram çox yaxında Bolt taksilər dayanıb. Lakin sifariş verəndən sonra taksi Memar əcəmidən yaxud mənə çox uzaq ərazidən sifarişi qəbul edir. hər gün bu problemi yaşayıram. Həm sürücü yanacaq sərfiyatında uduzur həm müştəri vaxt problemi yaşayır. Xahiş edirəm artıq bu problemə bir həll yolu tapın. Təşəkkürlər",1
Useless app Drivers are irresponsible. Most of them dont move to the  order destination and even dont cancel in such cases. It repeats often. App is useless if drivers dont work normally.,1
👍 👍,0
"Berbad Kobud suruculer,dehlisiz kartdan pul cixmalar ve ishdemeyen support funksiyasi.Berbad!",1
Nice app There is no indicator for north in map.. it is confusing a lot. It is not possible to choose multiple points for station while requesting taxi. Please consider all this on new versions. Thanks,0
"Есть косяки без них не как... Надеюсь добавите функцию чтоб выбрать два адреса куда ехать., бывает очень нужно. А так программа хорошая мне нравиться, доволен.",0
don’t download! why bolt without motive money from my card taking?!!!!!!!!!!!!!!!!!! answerr! nie menim kartimnan bosu bosuna odenisler cixir?! yuklemeyin bu tetbiqi!! elaqe nomresi bele tapmaq olmurki yeyilen haqqimi geri qaytarim!!!!!,1
Tövsiye Sıqaret cekılesı mumkun olsa yaxwı olar,0
Etik olmayan unvan Salam.Men Bakixanov qesebesinde yerleshen Serham markete getmek isteyirdim xeritede unvani axtararken Serham marketin yaninda “Essey market” yazilmishdi xahish edirik bu meseleni hell edesiz.,1
"Еще немного и удалюсь 3-й год пользуюсь программой, все было хорошо, но в последнее время не возможно без нервов заказать такси, водители вообще обнаглели, ждешь их ждешь а они отменяют заказ после длительного ожидания, кароче все как всегда в Азербайджане , все наглеют и не обращают внимание на клиентов!",1
"Xidmet 0 O gun sifarish vermish 10 deygedi gozleyirem surucu ( gotu poxlu gede)  sifarishi gebul edib, Amma Gelmir. Zeng vurmusham hardasan, gelirsen? Deyir ishim var otmenit ele sifarishi chox kobud danishir ozde gede.Bele atasi bilinmeyen cindirlari ishe gebul edendi gunah, teki pul olsun. Seviyyeniz 0!!! Surucu sechimine diqqetle yanashin, caamatin ailelisi de istifade edir bu xidmetden!!!",1
👍🏻👍🏻👍🏻👍🏻 🙂👍🏻👍🏻👍🏻👍🏻,0
Raziyam Cox unsiyyetcil mehriban ve gozel masin surme qabiliyyeti,0
👍👍👍 ⭐️⭐️⭐️⭐️⭐️,0
bu gun taxyfile meni qane ustumde o qeder pul yox idi mebur qalıb borc aldım qiymet meni qane etmedı 7.50 yazılmısdı unvana catanda halbuki 13.40 m ödedim((,1
"Bolt Great service, fast pick ups and low prices",0
Super Super beyendim. bele qalin.!,0
I like this app It is so good they all good taxi 's,0
Salam Men niye bloklanmiwam ????,1
"Bolt Sizin sürücülərin kobudluğundan boğaza yığılmışam! Normal nə danışa bilirlər nə, nə də yol tanıyırlar! Keçən dəfə gəlmişəm deyir ki, ləğv eləmişəm sifarişi durub hələ bunu deməyə gözləyir kobud şəkildə! Sizi heç bəyənmirdim silmişdim , yenə siləcəm! Sadəcə biabırçılıqdı! Ümumiyyətlə sizin sürüclərə xüsusi ünsiyyətlə bağlı təlim vermək lazımdı!",1
Cox gozel tam vaxtinda gelir Cox gozel tam vaxtinda gelir,0
Increased prices Prices are increased majority of time. Not competitive,1
"Служба поддержки В приложении очень не удобное меню, особенно когда хочешь связаться с службой поддержки. И сам сервис на донном уровне.",1
"Предложение Ув. Разрабы.  Почему после поездки я хочу зайти и допустим оставить хвалебный отзыв о водителе. А мне на выбор вместо хвалебны только варианты того что Водитель накосячил.  Или вы так не уверены в ваших водителях , что они по вашему мнению только косячить могут.  Либо вы упустили такое важное дело как - похвала для работника.  Добавьте пожалуйста эту услугу. Спасибо",0
Unlike Nağdsız ödənişə keçənə qədər yaxşı idi. İndi nağdsız ödəniş edirəm sürücülər deyinir hətta imkanları olsa aparmazlar.,1
👏🏼 9933den canimizi gurtardiginiz ucun teshekkur edirem) axir ki normal ishleye bilen taksi shirketi tapa bildik🥳,0
"Fake first use promotion code I got a promo code for first time use with a single payment option over credit card Only, then they charged my card , while it’s showing “zero” cost in my trips history ! As well as no body answering if you claim it ?! 

Im an old user for uber in many cities around the world , at least when i get a problem they will answer me and reply..",1
👌 Ela,0
"Keyfiyyetsiz suruculer Salam, men umumiyyetle nagd odenishden istifade etmirem deye taxify ve uber kimi taxi xidmetlerinden istufade edirdim.
25,05,2019 tarixinde odemishi kartla secmisdim surucunun biri yolun ortasinda dedi ki unvan bura dusurtdu, diger surucu ise kartla odenish secildiyine yuksek narazligin bildirdi. Zehmet olmasa adinizin qorunmasi ucun xidmeti icra eden suruculeri en azindan secerdiniz. Yox eger kartla odenish yoxdursa legv edin ishimizi bilek!!!!!!!!
Xusuen Opel Astra surucusu Eziz 90EB387 bu surucu ile bagli tedbir gormeyiniz xahish olunur!!!",1
Good Balam,0
